repr_type,pair,metric,category,n_items,mean,std
embedding_matrix,en_50m__vs__en_fr_a,jaccard_divergence,daily_customs,101,0.5057913491742799,0.29418504967416126
embedding_matrix,en_50m__vs__en_fr_a,jaccard_divergence,family_kinship,101,0.616150145970165,0.2646163013245772
embedding_matrix,en_50m__vs__en_fr_a,jaccard_divergence,festivals_holidays,100,0.6567400410648832,0.23019877761321844
embedding_matrix,en_50m__vs__en_fr_a,jaccard_divergence,food_cuisine,100,0.7208681036062,0.34764918696807867
embedding_matrix,en_50m__vs__en_fr_a,jaccard_divergence,governance_law,100,0.6518355124251807,0.23767783887034447
embedding_matrix,en_50m__vs__en_fr_a,jaccard_divergence,religion_ritual,101,0.6436462724919253,0.2851888324980785
embedding_matrix,en_50m__vs__en_fr_a,jaccard_divergence,social_identity,99,0.4741599699455431,0.33552315652478
embedding_matrix,en_50m__vs__en_fr_a,jaccard_divergence,symbols_colors,97,0.6147091608561933,0.26307140295319764
embedding_matrix,en_50m__vs__en_fr_a,jaccard_divergence,values_norms,101,0.679908421608954,0.24546971061576145
embedding_matrix,en_50m__vs__en_fr_b,jaccard_divergence,clothing_appearance,100,0.6359464678378915,0.2799954888416975
embedding_matrix,en_50m__vs__en_fr_b,jaccard_divergence,daily_customs,101,0.5073524657203687,0.2935193423608602
embedding_matrix,en_50m__vs__en_fr_b,jaccard_divergence,family_kinship,101,0.6056207897622723,0.26922168093239685
embedding_matrix,en_50m__vs__en_fr_b,jaccard_divergence,festivals_holidays,100,0.655868847857182,0.2188643485000717
embedding_matrix,en_50m__vs__en_fr_b,jaccard_divergence,food_cuisine,100,0.7196900306442096,0.3531165131209456
embedding_matrix,en_50m__vs__en_fr_b,jaccard_divergence,governance_law,100,0.6579727173184169,0.2334418711327249
embedding_matrix,en_50m__vs__en_fr_b,jaccard_divergence,religion_ritual,101,0.6622988803431984,0.273769407354109
