scope,repr_type,model_a,model_b,layer,normalization,axis_abs_projection_diff_mean,axis_abs_projection_diff_max,axis_signed_projection_diff_mean,axes_used,axes_skipped,neutral_projection_sd_a_mean,neutral_projection_sd_b_mean,cultural_norm_a_mean,cultural_norm_b_mean
layerwise,hidden_state,en_50m,en_bul_a,5,row_l2,0.10615932762622833,0.6440402865409851,-0.0010209874119027518,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_bul_a,5,neutral_z,0.7717609804868698,9.200098991394043,0.006646744199097157,50,0,652.6370001220703,1455.603358154297,4662.6728515625,9801.1357421875
layerwise,hidden_state,en_50m,en_bul_a,6,row_l2,0.10322737574577331,0.6396478414535522,-0.0020785751845687627,50,0,,,0.9999999403953552,1.0
layerwise,hidden_state,en_50m,en_bul_a,6,neutral_z,0.7708781492710114,9.011710166931152,0.004036551219178364,50,0,649.7170806884766,1443.8297985839845,4805.3681640625,9952.4140625
layerwise,hidden_state,en_50m,en_bul_a,7,row_l2,0.10409374192357063,0.6598030924797058,-0.0027252048102673143,50,0,,,0.9999998211860657,1.0
layerwise,hidden_state,en_50m,en_bul_a,7,neutral_z,0.7717951154708862,8.768270492553711,0.00024078000424196944,50,0,635.1485479736328,1424.2170556640624,4787.1318359375,9630.66796875
layerwise,hidden_state,en_50m,en_bul_a,8,row_l2,0.10601214572787285,0.6716112494468689,-0.008394967844360508,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_bul_a,8,neutral_z,0.7825747519731522,8.541942596435547,-0.006320131309330464,50,0,604.9811553955078,1381.9474450683595,4746.205078125,9725.55859375
layerwise,hidden_state,en_50m,en_bul_a,9,row_l2,0.11075641229748726,0.6765366196632385,-0.00893166996538639,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_bul_a,9,neutral_z,0.7907876980304718,8.641592979431152,-0.012390954112634063,50,0,588.2339318847656,1273.4655981445312,4761.775390625,9584.7001953125
layerwise,hidden_state,en_50m,en_bul_a,10,row_l2,0.11272408470511436,0.7375520467758179,-0.004335331660695374,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_bul_a,10,neutral_z,0.7936323857307435,8.724318504333496,0.009525088109076024,50,0,597.6625262451172,1184.02001953125,4917.27587890625,9175.697265625
layerwise,hidden_state,en_50m,en_bul_a,11,row_l2,0.12006814256310464,0.7399489283561707,0.002416442250832915,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_bul_a,11,neutral_z,0.7891097509860993,8.503304481506348,0.00048567015677690505,50,0,651.4896643066406,1304.438319091797,5695.62109375,10326.1162109375
layerwise,hidden_state,en_50m,en_bul_a,12,row_l2,0.14003492623567582,0.6861159801483154,0.008005269411951304,50,0,,,0.9999999403953552,1.0
layerwise,hidden_state,en_50m,en_bul_a,12,neutral_z,0.7498081320524216,6.7496185302734375,-0.008062114808708429,50,0,2.137812068462372,2.3318110799789427,17.336801528930664,16.1527042388916
